"Date","Price","Open","High","Low","Change %"
"Apr 30, 2018","76.92","77.11","77.36","76.83","-0.44%"
"Apr 27, 2018","77.26","77.19","77.42","76.93","0.09%"
"Apr 26, 2018","77.19","77.36","77.46","77.13","-0.22%"
"Apr 25, 2018","77.36","77.47","77.55","77.11","-0.15%"
"Apr 24, 2018","77.48","77.70","77.84","77.25","-0.28%"
"Apr 23, 2018","77.70","77.55","77.86","77.52","0.14%"
"Apr 20, 2018","77.59","78.08","78.12","77.45","-0.63%"
"Apr 19, 2018","78.08","78.48","78.80","77.94","-0.51%"
"Apr 18, 2018","78.48","78.56","78.81","78.34","-0.13%"
"Apr 17, 2018","78.58","78.88","78.97","78.47","-0.37%"
"Apr 16, 2018","78.87","78.97","79.13","78.65","-0.16%"
"Apr 13, 2018","79.00","79.19","79.64","78.83","-0.21%"
"Apr 12, 2018","79.17","78.58","79.21","78.52","0.75%"
"Apr 11, 2018","78.58","78.93","79.08","78.53","-0.43%"
"Apr 10, 2018","78.92","77.99","79.15","77.90","1.18%"
"Apr 09, 2018","78.00","77.73","78.42","77.53","0.41%"
"Apr 06, 2018","77.68","78.15","78.19","77.62","-0.60%"
"Apr 05, 2018","78.15","78.01","78.25","77.82","0.18%"
"Apr 04, 2018","78.01","77.37","78.09","77.11","0.85%"
"Apr 03, 2018","77.35","76.38","77.49","76.17","1.27%"
"Apr 02, 2018","76.38","76.92","77.02","76.21","-0.68%"
"Mar 30, 2018","76.90","76.99","77.07","76.69","-0.13%"
"Mar 29, 2018","77.00","77.06","77.09","76.58","-0.08%"
"Mar 28, 2018","77.06","76.56","77.27","76.44","0.63%"
"Mar 27, 2018","76.58","76.94","77.11","76.47","-0.47%"
"Mar 26, 2018","76.94","75.78","77.00","75.59","1.53%"
"Mar 23, 2018","75.78","75.86","76.45","75.53","-0.11%"
"Mar 22, 2018","75.86","76.64","76.80","75.86","-1.06%"
"Mar 21, 2018","76.67","76.55","76.89","75.97","0.18%"
"Mar 20, 2018","76.53","76.83","77.06","76.42","-0.43%"
"Mar 19, 2018","76.86","76.64","77.03","76.08","0.51%"
"Mar 16, 2018","76.47","77.39","77.44","76.42","-1.20%"
"Mar 15, 2018","77.40","77.96","77.97","77.10","-0.71%"
"Mar 14, 2018","77.95","78.06","78.31","77.62","-0.14%"
"Mar 13, 2018","78.06","77.64","78.67","77.56","0.54%"
"Mar 12, 2018","77.64","77.75","78.19","77.55","-0.18%"
"Mar 09, 2018","77.78","77.19","78.05","77.06","0.83%"
"Mar 08, 2018","77.14","77.27","77.41","76.86","-0.18%"
"Mar 07, 2018","77.28","77.36","77.47","76.78","-0.10%"
"Mar 06, 2018","77.36","76.75","77.69","76.67","0.79%"
"Mar 05, 2018","76.75","76.50","76.81","75.94","0.29%"
"Mar 02, 2018","76.53","77.00","77.28","76.16","-0.62%"
