"Date","Price","Open","High","Low","Change %"
"Sep 02, 2015","124.22","124.54","125.34","123.65","-0.24%"
"Sep 01, 2015","124.52","125.34","125.84","124.23","-0.67%"
"Aug 31, 2015","125.36","126.30","126.36","125.10","-0.88%"
"Aug 28, 2015","126.47","125.23","126.55","125.07","0.95%"
"Aug 27, 2015","125.28","125.63","126.52","124.88","-0.30%"
"Aug 26, 2015","125.66","126.46","127.06","125.20","-0.71%"
"Aug 25, 2015","126.56","127.12","128.41","126.09","-0.54%"
"Aug 24, 2015","127.25","128.63","129.08","125.17","-1.27%"
"Aug 21, 2015","128.89","128.70","129.06","128.07","0.12%"
"Aug 20, 2015","128.74","128.07","128.91","127.91","0.37%"
"Aug 19, 2015","128.27","127.25","128.43","126.98","0.76%"
"Aug 18, 2015","127.30","127.05","127.62","126.85","0.21%"
"Aug 17, 2015","127.03","127.16","127.68","126.85","-0.27%"
"Aug 14, 2015","127.38","127.36","127.66","126.89","-0.04%"
"Aug 13, 2015","127.43","127.24","127.82","126.97","0.08%"
"Aug 12, 2015","127.33","126.53","128.05","126.13","0.52%"
"Aug 11, 2015","126.67","126.66","127.44","126.24","-0.02%"
"Aug 10, 2015","126.69","126.11","127.11","125.89","0.33%"
"Aug 07, 2015","126.27","127.06","127.46","126.00","-0.72%"
"Aug 06, 2015","127.18","127.51","127.75","126.70","-0.30%"
"Aug 05, 2015","127.56","127.10","127.66","126.64","0.38%"
"Aug 04, 2015","127.08","127.91","128.33","126.88","-0.69%"
"Aug 03, 2015","127.96","128.30","128.62","127.63","-0.27%"
"Jul 31, 2015","128.31","127.94","129.50","127.86","0.18%"
"Jul 30, 2015","128.08","128.00","128.46","127.70","0.04%"
"Jul 29, 2015","128.03","128.31","128.90","127.79","-0.27%"
"Jul 28, 2015","128.38","127.92","128.56","127.78","0.30%"
"Jul 27, 2015","128.00","128.38","129.44","127.76","-0.44%"
"Jul 24, 2015","128.56","129.00","129.41","128.25","-0.42%"
"Jul 23, 2015","129.10","129.14","129.96","128.83","-0.08%"
"Jul 22, 2015","129.20","129.21","129.44","128.52","-0.02%"
"Jul 21, 2015","129.23","128.80","129.81","128.69","0.32%"
"Jul 20, 2015","128.82","128.95","129.45","128.69","-0.20%"
"Jul 17, 2015","129.08","129.65","129.82","128.78","-0.42%"
